id;descricao;acao
1;monitor Station Web;Rufiyaa AI capacitor
2;indexing interface;hard drive
3;transitional 5th generation;one-to-one France Connecticut
4;Handmade Fresh Keyboard bypassing Baby;magenta scalable
5;Ohio Croatian Kuna;ivory Handmade Wooden Shoes Refined Cotton Mouse
6;Buckinghamshire payment;compressing
7;monitor invoice internet solution;Bedfordshire Louisiana
8;Savings Account deposit;Rustic Mauritius
9;Personal Loan Account;green connect projection
10;bypassing calculating Networked;Wooden Soft
