id;nome;comunidade;obs
1;Liechtenstein;FTP leading-edge quantify;California
2;Investor copy;transmit cohesive;withdrawal
3;RSS Keyboard Frozen;mobile withdrawal Buckinghamshire;tan SQL SQL
4;array;Practical Frozen Chips;Bacon
5;Summit Direct backing up;harness Corporate;Right-sized
6;Refined Soft Chips local Berkshire;disintermediate New Israeli Sheqel innovative;Cloned zero tolerance
7;scalable;synergy groupware expedite;Botswana connect Rue
8;morph Mission;synthesize;initiative Representative
9;reinvent;deliver;synthesize connect Ergonomic Rubber Chicken
10;evolve;Ergonomic;Chair Ergonomic Soft Salad
