id;nome;perfil;obs
1;Central fuchsia Slovenia;TECH_LEAD;Israel
2;Clothing;TECH_LEAD;synthesize Senior Port
3;Seychelles array solid state;TECH_LEAD;Technician Refined
4;Synergistic monetize;PO;Bedfordshire Dong
5;teal Soft;TECH_LEAD;feed Brand Ouguiya
6;Credit Card Account;TECH_LEAD;Crescent
7;monitor alarm Analyst;TECH_LEAD;copy
8;Practical Steel Keyboard teal hack;PO;International Investment Account
9;Graphical User Interface;TECH_LEAD;Team-oriented challenge Consultant
10;Towels Practical deposit;TECH_LEAD;programming exploit
