id;descricao;data_limite;concluida
1;Savings Account fresh-thinking Netherlands Antilles;2021-03-18;mobile
2;hierarchy PNG;2021-03-18;multi-byte Maryland
3;User-centric;2021-03-18;Expanded Practical Granite Soap
4;Soft;2021-03-18;Integration
5;California Maine connect;2021-03-17;quantifying
6;haptic Direct;2021-03-17;Re-engineered teal Avon
7;virtual Product parse;2021-03-18;archive Buckinghamshire Bacon
8;Outdoors markets Frozen;2021-03-17;Communications Garden Response
9;reintermediate Cotton Handmade;2021-03-18;Belize Dollar Tools
10;Nuevo Sol Dobra;2021-03-18;architectures
